StudyHours,Attendance,SleepHours,PreviousGrade,AssignmentsCompleted,InternetAccess,Extracurricular,Performance
5,82,6,68,5,Yes,No,Excellent
6,84,7,70,6,Yes,Yes,Excellent
6,86,7,72,6,Yes,No,Excellent
7,88,7,74,7,Yes,Yes,Excellent
7,90,7,76,7,Yes,No,Excellent
8,92,8,78,8,Yes,Yes,Excellent
8,94,8,80,8,Yes,No,Excellent
9,96,8,82,9,Yes,Yes,Excellent
9,98,8,84,9,Yes,Yes,Excellent
10,100,8,86,10,Yes,Yes,Excellent
10,100,9,88,10,Yes,Yes,Excellent
11,100,9,91,10,Yes,Yes,Excellent
12,100,9,94,10,Yes,Yes,Excellent
2,73,5,57,2,No,No,Poor
3,75,5,60,3,No,No,Average
4,77,6,62,4,No,NO,Average
4,79,6,64,4,Yes,No,Excellent
5,81,6,66,5,Yes,NO,Excellent
5,83,6,68,5,Yes,No,Excellent
6,85,7,70,6,Yes,Yes,Excellent
6,87,7,72,6,Yes,No,Excellent
7,89,7,74,7,Yes,Yes,Excellent
7,91,7,76,7,Yes,No,Excellent
8,93,8,78,8,Yes,Yes,Excellent
8,95,8,80,8,Yes,No,Excellent
9,97,8,82,9,Yes,Yes,Excellent
9,99,8,84,9,Yes,Yes,Excellent
10,100,8,86,10,Yes,Yes,Excellent
10,100,9,88,10,Yes,Yes,Excellent
11,100,9,92,10,Yes,Yes,Excellent
11,100,9,94,10,Yes,Yes,Excellent
3,74,4,56,3,No,No,Poor
4,77,5,59,4,No,NO,Average
5,79,6,61,5,No,No,Excellent
5,81,6,63,5,Yes,NO,Excellent
6,83,7,65,6,Yes,No,Excellent
6,85,7,67,6,Yes,Yes,Excellent
7,87,7,69,7,Yes,Yes,Excellent
7,89,7,71,7,Yes,No,Excellent
8,91,8,73,8,Yes,Yes,Excellent
8,93,8,75,8,Yes,No,Excellent
9,95,8,77,9,Yes,Yes,Excellent
9,97,8,79,9,Yes,Yes,Excellent
10,99,8,81,10,Yes,Yes,Excellent
10,100,9,83,10,Yes,Yes,Excellent
11,100,9,87,10,Yes,Yes,Excellent
12,100,9,90,10,Yes,Yes,Excellent
1,69,4,56,1,No,No,Poor
2,73,5,59,2,No,NO,Poor
3,75,5,61,3,No,No,Average
4,77,6,63,4,No,NO,Excellent
4,79,6,65,4,Yes,No,Excellent
5,81,6,67,5,Yes,NO,Excellent
5,83,6,69,5,Yes,No,Excellent
6,85,7,71,6,Yes,Yes,Excellent
6,87,7,73,6,Yes,No,Excellent
7,89,7,75,7,Yes,Yes,Excellent
7,91,7,77,7,Yes,No,Excellent
8,93,8,79,8,Yes,Yes,Excellent
8,95,8,81,8,Yes,No,Excellent
9,97,8,83,9,Yes,Yes,Excellent
9,99,8,85,9,Yes,Yes,Excellent
10,100,8,87,10,Yes,Yes,Excellent
10,100,9,90,10,Yes,Yes,Excellent
11,100,9,93,10,Yes,Yes,Excellent
12,100,9,95,10,Yes,Yes,Excellent
2,74,5,58,2,No,NO,Poor
3,76,5,61,3,No,No,Excellent
4,78,6,63,4,No,NO,Excellent
4,80,6,65,4,Yes,No,Excellent
5,82,6,67,5,Yes,NO,Excellent
5,84,6,69,5,Yes,No,Excellent
6,86,7,71,6,Yes,Yes,Excellent
6,88,7,73,6,Yes,No,Excellent
7,90,7,75,7,Yes,Yes,Excellent
7,92,7,77,7,Yes,No,Excellent
8,94,8,79,8,Yes,Yes,Excellent
8,96,8,81,8,Yes,No,Excellent
9,98,8,83,9,Yes,Yes,Excellent
9,100,8,85,9,Yes,Yes,Excellent
10,100,8,87,10,Yes,Yes,Excellent
10,100,9,90,10,Yes,Yes,Excellent
11,100,9,94,10,Yes,Yes,Excellent
11,100,9,96,10,Yes,Yes,Excellent
3,75,4,57,3,No,NO,Poor
4,78,5,60,4,No,No,Excellent
5,80,6,62,5,No,NO,Excellent
5,82,6,64,5,Yes,No,Excellent
6,84,7,66,6,Yes,NO,Excellent
6,86,7,68,6,Yes,No,Excellent
7,88,7,70,7,Yes,Yes,Excellent
7,90,7,72,7,Yes,No,Excellent
8,92,8,74,8,Yes,Yes,Excellent
8,94,8,76,8,Yes,No,Excellent
9,96,8,78,9,Yes,Yes,Excellent
9,98,8,80,9,Yes,Yes,Excellent
10,100,8,82,10,Yes,Yes,Excellent
10,100,9,85,10,Yes,Yes,Excellent
11,100,9,91,10,Yes,Yes,Excellent
12,100,9,97,10,Yes,Yes,Excellent
1,70,4,57,1,No,NO,Poor
2,74,5,60,2,No,No,Excellent
3,76,5,62,3,No,NO,Excellent
4,78,6,64,4,No,No,Excellent
4,80,6,66,4,Yes,NO,Excellent
5,82,6,68,5,Yes,No,Excellent
5,84,6,70,5,Yes,No,Excellent
6,86,7,72,6,Yes,Yes,Excellent
6,88,7,74,6,Yes,NO,Excellent
7,90,7,76,7,Yes,Yes,Excellent
7,92,7,78,7,Yes,No,Excellent
8,94,8,80,8,Yes,Yes,Excellent
8,96,8,82,8,Yes,No,Excellent
9,98,8,84,9,Yes,Yes,Excellent
9,100,8,86,9,Yes,Yes,Excellent
10,100,8,88,10,Yes,Yes,Excellent
10,100,9,91,10,Yes,Yes,Excellent
11,100,9,95,10,Yes,Yes,Excellent
12,100,9,98,10,Yes,Yes,Excellent
2,75,5,59,2,No,NO,Average
3,77,5,62,3,No,No,Excellent
4,79,6,64,4,No,NO,Excellent
4,81,6,66,4,Yes,No,Excellent
5,83,6,68,5,Yes,NO,Excellent
5,85,6,70,5,Yes,No,Excellent
6,87,7,72,6,Yes,Yes,Excellent
6,89,7,74,6,Yes,NO,Excellent
7,91,7,76,7,Yes,Yes,Excellent
7,93,7,78,7,Yes,No,Excellent
8,95,8,80,8,Yes,Yes,Excellent
8,97,8,82,8,Yes,No,Excellent
9,99,8,84,9,Yes,Yes,Excellent
9,100,8,86,9,Yes,Yes,Excellent
10,100,8,88,10,Yes,Yes,Excellent
10,100,9,92,10,Yes,Yes,Excellent
11,100,9,96,10,Yes,Yes,Excellent
11,100,9,99,10,Yes,Yes,Excellent
3,76,4,58,3,No,NO,Average
4,78,5,61,4,No,No,Excellent
5,80,6,63,5,No,NO,Excellent
5,82,6,65,5,Yes,No,Excellent
6,84,7,67,6,Yes,NO,Excellent
6,86,7,69,6,Yes,No,Excellent
7,88,7,71,7,Yes,Yes,Excellent
7,90,7,73,7,Yes,No,Excellent
8,92,8,75,8,Yes,Yes,Excellent
8,94,8,77,8,Yes,No,Excellent
9,96,8,79,9,Yes,Yes,Excellent
9,98,8,81,9,Yes,Yes,Excellent
10,100,8,83,10,Yes,Yes,Excellent
10,100,9,87,10,Yes,Yes,Excellent
11,100,9,93,10,Yes,Yes,Excellent
12,100,9,99,10,Yes,Yes,Excellent
2,76,5,60,2,No,NO,Average
3,78,5,63,3,No,No,Excellent
4,80,6,65,4,No,NO,Excellent
4,82,6,67,4,Yes,No,Excellent
5,84,6,69,5,Yes,NO,Excellent
5,86,6,71,5,Yes,No,Excellent
6,88,7,73,6,Yes,Yes,Excellent
6,90,7,75,6,Yes,NO,Excellent
7,92,7,77,7,Yes,Yes,Excellent
7,94,7,79,7,Yes,No,Excellent
8,96,8,81,8,Yes,Yes,Excellent
8,98,8,83,8,Yes,No,Excellent
9,100,8,85,9,Yes,Yes,Excellent
9,100,8,87,9,Yes,Yes,Excellent
10,100,8,89,10,Yes,Yes,Excellent
10,100,9,94,10,Yes,Yes,Excellent
11,100,9,98,10,Yes,Yes,Excellent
11,100,9,100,10,Yes,Yes,Excellent
3,77,4,59,3,No,NO,Average
4,80,5,62,4,No,No,Excellent
5,82,6,64,5,No,NO,Excellent
5,84,6,66,5,Yes,No,Excellent
6,86,7,68,6,Yes,NO,Excellent
6,88,7,70,6,Yes,No,Excellent
7,90,7,72,7,Yes,Yes,Excellent
7,92,7,74,7,Yes,No,Excellent
8,94,8,76,8,Yes,Yes,Excellent
8,96,8,78,8,Yes,No,Excellent
9,98,8,80,9,Yes,Yes,Excellent
9,100,8,82,9,Yes,Yes,Excellent
10,100,8,84,10,Yes,Yes,Excellent
10,100,9,90,10,Yes,Yes,Excellent
11,100,9,96,10,Yes,Yes,Excellent
12,100,9,100,10,Yes,Yes,Excellent
2,77,5,61,2,No,NO,Excellent
3,79,5,64,3,No,No,Excellent
4,81,6,66,4,No,NO,Excellent
4,83,6,68,4,Yes,No,Excellent
5,85,6,70,5,Yes,NO,Excellent
5,87,6,72,5,Yes,No,Excellent
6,89,7,74,6,Yes,Yes,Excellent
6,91,7,76,6,Yes,NO,Excellent
7,93,7,78,7,Yes,Yes,Excellent
7,95,7,80,7,Yes,No,Excellent
8,97,8,82,8,Yes,Yes,Excellent
8,99,8,84,8,Yes,No,Excellent
9,100,8,86,9,Yes,Yes,Excellent
9,100,8,88,9,Yes,Yes,Excellent
10,100,8,90,10,Yes,Yes,Excellent
10,100,9,95,10,Yes,Yes,Excellent
11,100,9,99,10,Yes,Yes,Excellent
11,100,9,100,10,Yes,Yes,Excellent
3,78,4,60,3,No,NO,Excellent
4,81,5,63,4,No,No,Excellent
5,83,6,65,5,No,NO,Excellent
5,85,6,67,5,Yes,No,Excellent
6,87,7,69,6,Yes,NO,Excellent
6,89,7,71,6,Yes,No,Excellent
7,91,7,73,7,Yes,Yes,Excellent
7,93,7,75,7,Yes,No,Excellent
8,95,8,77,8,Yes,Yes,Excellent
8,97,8,79,8,Yes,No,Excellent
9,99,8,81,9,Yes,Yes,Excellent
9,100,8,83,9,Yes,Yes,Excellent
10,100,8,85,10,Yes,Yes,Excellent
10,100,9,92,10,Yes,Yes,Excellent
11,100,9,98,10,Yes,Yes,Excellent
12,100,9,100,10,Yes,Yes,Excellent
3,79,4,61,3,No,NO,Excellent
4,82,5,64,4,No,No,Excellent
5,84,6,66,5,No,NO,Excellent
5,86,6,68,5,Yes,No,Excellent
6,88,7,70,6,Yes,NO,Excellent
6,90,7,72,6,Yes,No,Excellent
7,92,7,74,7,Yes,Yes,Excellent
7,94,7,76,7,Yes,No,Excellent
8,96,8,78,8,Yes,Yes,Excellent
8,98,8,80,8,Yes,No,Excellent
9,100,8,82,9,Yes,Yes,Excellent
9,100,8,84,9,Yes,Yes,Excellent
10,100,8,86,10,Yes,Yes,Excellent
10,100,9,93,10,Yes,Yes,Excellent
11,100,9,98,10,Yes,Yes,Excellent
12,100,9,100,10,Yes,Yes,Excellent
3,80,4,62,3,No,NO,Excellent
4,83,5,65,4,No,No,Excellent
5,85,6,67,5,No,NO,Excellent
5,87,6,69,5,Yes,No,Excellent
6,89,7,71,6,Yes,NO,Excellent
6,91,7,73,6,Yes,No,Excellent
7,93,7,75,7,Yes,Yes,Excellent
7,95,7,77,7,Yes,No,Excellent
8,97,8,79,8,Yes,Yes,Excellent
8,99,8,81,8,Yes,No,Excellent
9,100,8,83,9,Yes,Yes,Excellent
9,100,8,85,9,Yes,Yes,Excellent
10,100,8,87,10,Yes,Yes,Excellent
10,100,9,94,10,Yes,Yes,Excellent
11,100,9,99,10,Yes,Yes,Excellent
12,100,9,100,10,Yes,Yes,Excellent
2,78,5,62,2,No,NO,Excellent
3,80,5,64,3,No,No,Excellent
4,82,6,66,4,No,NO,Excellent
4,84,6,68,4,Yes,No,Excellent
5,86,6,70,5,Yes,NO,Excellent
5,88,6,72,5,Yes,No,Excellent
6,90,7,74,6,Yes,Yes,Excellent
6,92,7,76,6,Yes,NO,Excellent
7,94,7,78,7,Yes,Yes,Excellent
7,96,7,80,7,Yes,No,Excellent
8,98,8,82,8,Yes,Yes,Excellent
8,100,8,84,8,Yes,No,Excellent
9,100,8,86,9,Yes,Yes,Excellent
9,100,8,88,9,Yes,Yes,Excellent
10,100,8,90,10,Yes,Yes,Excellent
10,100,9,95,10,Yes,Yes,Excellent
11,100,9,100,10,Yes,Yes,Excellent
11,100,9,100,10,Yes,Yes,Excellent
3,80,4,63,3,No,NO,Excellent
4,83,5,66,4,No,No,Excellent
5,85,6,68,5,No,NO,Excellent
5,87,6,70,5,Yes,No,Excellent
6,89,7,72,6,Yes,NO,Excellent
6,91,7,74,6,Yes,No,Excellent
7,93,7,76,7,Yes,Yes,Excellent
7,95,7,78,7,Yes,No,Excellent
8,97,8,80,8,Yes,Yes,Excellent
8,99,8,82,8,Yes,No,Excellent
9,100,8,84,9,Yes,Yes,Excellent
9,100,8,86,9,Yes,YES,Excellent
10,100,8,88,10,Yes,Yes,Excellent
10,100,9,96,10,Yes,Yes,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
3,81,4,64,3,No,NO,Excellent
4,84,5,67,4,No,No,Excellent
5,86,6,70,5,No,NO,Excellent
5,88,6,72,5,Yes,No,Excellent
6,90,7,74,6,Yes,NO,Excellent
6,92,7,76,6,Yes,No,Excellent
7,94,7,78,7,Yes,Yes,Excellent
7,96,7,80,7,Yes,No,Excellent
8,98,8,82,8,Yes,Yes,Excellent
8,100,8,84,8,Yes,No,Excellent
9,100,8,86,9,Yes,Yes,Excellent
9,100,8,88,9,Yes,YES,Excellent
10,100,8,90,10,Yes,Yes,Excellent
10,100,9,97,10,Yes,YES,Excellent
11,100,9,100,10,Yes,Yes,Excellent
12,100,9,100,10,Yes,Yes,Excellent
3,82,4,65,3,No,NO,Excellent
4,85,5,68,4,No,No,Excellent
5,87,6,71,5,No,NO,Excellent
5,89,6,73,5,Yes,No,Excellent
6,91,7,75,6,Yes,NO,Excellent
6,93,7,77,6,Yes,No,Excellent
7,95,7,79,7,Yes,Yes,Excellent
7,97,7,81,7,Yes,No,Excellent
8,99,8,83,8,Yes,Yes,Excellent
8,100,8,85,8,Yes,No,Excellent
9,100,8,87,9,Yes,Yes,Excellent
9,100,8,89,9,Yes,YES,Excellent
10,100,8,91,10,Yes,Yes,Excellent
10,100,9,98,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
2,79,5,63,2,No,NO,Excellent
3,81,5,65,3,No,No,Excellent
4,83,6,67,4,No,NO,Excellent
4,85,6,69,4,Yes,No,Excellent
5,87,6,71,5,Yes,NO,Excellent
5,89,6,73,5,Yes,No,Excellent
6,91,7,75,6,Yes,Yes,Excellent
6,93,7,77,6,Yes,NO,Excellent
7,95,7,79,7,Yes,Yes,Excellent
7,97,7,81,7,Yes,No,Excellent
8,99,8,83,8,Yes,Yes,Excellent
8,100,8,85,8,Yes,No,Excellent
9,100,8,87,9,Yes,Yes,Excellent
9,100,8,89,9,Yes,YES,Excellent
10,100,8,91,10,Yes,Yes,Excellent
10,100,9,98,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
3,82,4,64,3,No,NO,Excellent
4,84,5,67,4,No,No,Excellent
5,86,6,70,5,No,NO,Excellent
5,88,6,72,5,Yes,No,Excellent
6,90,7,74,6,Yes,NO,Excellent
6,92,7,76,6,Yes,No,Excellent
7,94,7,78,7,Yes,Yes,Excellent
7,96,7,80,7,Yes,No,Excellent
8,98,8,82,8,Yes,Yes,Excellent
8,100,8,84,8,Yes,No,Excellent
9,100,8,86,9,Yes,Yes,Excellent
9,100,8,88,9,Yes,YES,Excellent
10,100,8,90,10,Yes,Yes,Excellent
10,100,9,99,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
4,83,5,66,4,No,NO,Excellent
5,86,6,69,5,No,No,Excellent
5,88,6,71,5,Yes,NO,Excellent
6,90,7,73,6,Yes,NO,Excellent
6,92,7,75,6,Yes,No,Excellent
7,94,7,77,7,Yes,Yes,Excellent
7,96,7,79,7,Yes,No,Excellent
8,98,8,81,8,Yes,Yes,Excellent
8,100,8,83,8,Yes,No,Excellent
9,100,8,85,9,Yes,Yes,Excellent
9,100,8,87,9,Yes,YES,Excellent
10,100,8,89,10,Yes,Yes,Excellent
10,100,9,99,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
4,84,5,67,4,No,NO,Excellent
5,87,6,70,5,No,No,Excellent
5,89,6,72,5,Yes,NO,Excellent
6,91,7,74,6,Yes,NO,Excellent
6,93,7,76,6,Yes,No,Excellent
7,95,7,78,7,Yes,Yes,Excellent
7,97,7,80,7,Yes,No,Excellent
8,99,8,82,8,Yes,Yes,Excellent
8,100,8,84,8,Yes,No,Excellent
9,100,8,86,9,Yes,Yes,Excellent
9,100,8,88,9,Yes,YES,Excellent
10,100,8,90,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
4,85,5,68,4,No,NO,Excellent
5,88,6,71,5,No,No,Excellent
5,90,6,73,5,Yes,NO,Excellent
6,92,7,75,6,Yes,No,Excellent
6,94,7,77,6,Yes,YES,Excellent
7,96,7,79,7,Yes,Yes,Excellent
7,98,7,81,7,Yes,No,Excellent
8,100,8,83,8,Yes,Yes,Excellent
8,100,8,85,8,Yes,No,Excellent
9,100,8,87,9,Yes,YES,Excellent
10,100,8,89,10,Yes,Yes,Excellent
10,100,9,99,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
4,86,5,69,4,No,NO,Excellent
5,89,6,72,5,No,No,Excellent
5,91,6,74,5,Yes,NO,Excellent
6,93,7,76,6,Yes,YES,Excellent
6,95,7,78,6,Yes,Yes,Excellent
7,97,7,80,7,Yes,Yes,Excellent
7,99,7,82,7,Yes,No,Excellent
8,100,8,84,8,Yes,Yes,Excellent
8,100,8,86,8,Yes,NO,Excellent
9,100,8,88,9,Yes,Yes,Excellent
9,100,8,90,9,Yes,YES,Excellent
10,100,8,92,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,87,6,70,5,No,No,Excellent
5,90,6,73,5,Yes,NO,Excellent
6,92,7,75,6,Yes,YES,Excellent
6,94,7,77,6,Yes,Yes,Excellent
7,96,7,79,7,Yes,YES,Excellent
7,98,7,81,7,Yes,No,Excellent
8,100,8,83,8,Yes,Yes,Excellent
8,100,8,85,8,Yes,NO,Excellent
9,100,8,87,9,Yes,YES,Excellent
9,100,8,89,9,Yes,Yes,Excellent
10,100,8,91,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,88,6,71,5,Yes,NO,Excellent
6,91,7,74,6,Yes,YES,Excellent
6,93,7,76,6,Yes,Yes,Excellent
7,95,7,78,7,Yes,YES,Excellent
7,97,7,80,7,Yes,No,Excellent
8,99,8,82,8,Yes,Yes,Excellent
8,100,8,84,8,Yes,NO,Excellent
9,100,8,86,9,Yes,YES,Excellent
9,100,8,88,9,Yes,Yes,Excellent
10,100,8,90,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,89,6,72,5,Yes,NO,Excellent
6,92,7,75,6,Yes,YES,Excellent
6,94,7,77,6,Yes,Yes,Excellent
7,96,7,79,7,Yes,YES,Excellent
7,98,7,81,7,Yes,No,Excellent
8,100,8,83,8,Yes,Yes,Excellent
8,100,8,85,8,Yes,NO,Excellent
9,100,8,87,9,Yes,YES,Excellent
9,100,8,89,9,Yes,Yes,Excellent
10,100,8,91,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,90,6,73,5,Yes,NO,Excellent
6,93,7,76,6,Yes,YES,Excellent
6,95,7,78,6,Yes,Yes,Excellent
7,97,7,80,7,Yes,YES,Excellent
7,99,7,82,7,Yes,No,Excellent
8,100,8,84,8,Yes,Yes,Excellent
8,100,8,86,8,Yes,NO,Excellent
9,100,8,88,9,Yes,YES,Excellent
9,100,8,90,9,Yes,Yes,Excellent
10,100,8,92,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,91,6,74,5,Yes,NO,Excellent
6,94,7,77,6,Yes,YES,Excellent
6,96,7,79,6,Yes,Yes,Excellent
7,98,7,81,7,Yes,YES,Excellent
7,100,7,83,7,Yes,No,Excellent
8,100,8,85,8,Yes,Yes,Excellent
8,100,8,87,8,Yes,NO,Excellent
9,100,8,89,9,Yes,YES,Excellent
9,100,8,91,9,Yes,Yes,Excellent
10,100,8,93,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,92,6,75,5,Yes,NO,Excellent
6,95,7,78,6,Yes,YES,Excellent
6,97,7,80,6,Yes,Yes,Excellent
7,99,7,82,7,Yes,YES,Excellent
7,100,7,84,7,Yes,No,Excellent
8,100,8,86,8,Yes,Yes,Excellent
8,100,8,88,8,Yes,NO,Excellent
9,100,8,90,9,Yes,YES,Excellent
9,100,8,92,9,Yes,YES,Excellent
10,100,8,94,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,93,6,76,5,Yes,NO,Excellent
6,96,7,79,6,Yes,YES,Excellent
6,98,7,81,6,Yes,Yes,Excellent
7,100,7,83,7,Yes,YES,Excellent
7,100,7,85,7,Yes,No,Excellent
8,100,8,87,8,Yes,Yes,Excellent
8,100,8,89,8,Yes,NO,Excellent
9,100,8,91,9,Yes,YES,Excellent
9,100,8,93,9,Yes,YES,Excellent
10,100,8,95,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,94,6,77,5,Yes,NO,Excellent
6,97,7,80,6,Yes,YES,Excellent
6,99,7,82,6,Yes,No,Excellent
7,100,7,84,7,Yes,YES,Excellent
7,100,7,86,7,Yes,No,Excellent
8,100,8,88,8,Yes,Yes,Excellent
8,100,8,90,8,Yes,NO,Excellent
9,100,8,92,9,Yes,YES,Excellent
9,100,8,94,9,Yes,YES,Excellent
10,100,8,96,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
5,95,6,78,5,Yes,NO,Excellent
6,98,7,81,6,Yes,YES,Excellent
6,100,7,83,6,Yes,No,Excellent
7,100,7,85,7,Yes,YES,Excellent
7,100,7,87,7,Yes,No,Excellent
8,100,8,89,8,Yes,Yes,Excellent
8,100,8,91,8,Yes,NO,Excellent
9,100,8,93,9,Yes,YES,Excellent
9,100,8,95,9,Yes,YES,Excellent
10,100,8,97,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,Yes,Excellent
6,96,7,80,6,Yes,No,Excellent
6,99,7,82,6,Yes,NO,Excellent
7,100,7,84,7,Yes,Yes,Excellent
7,100,7,86,7,Yes,No,Excellent
8,100,8,88,8,Yes,Yes,Excellent
8,100,8,90,8,Yes,NO,Excellent
9,100,8,92,9,Yes,Yes,Excellent
9,100,8,94,9,Yes,YES,Excellent
10,100,8,96,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,Yes,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,97,7,81,6,Yes,No,Excellent
6,100,7,83,6,Yes,NO,Excellent
7,100,7,85,7,Yes,Yes,Excellent
7,100,7,87,7,Yes,No,Excellent
8,100,8,89,8,Yes,Yes,Excellent
8,100,8,91,8,Yes,NO,Excellent
9,100,8,93,9,Yes,Yes,Excellent
9,100,8,95,9,Yes,YES,Excellent
10,100,8,97,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,98,7,82,6,Yes,No,Excellent
6,100,7,84,6,Yes,NO,Excellent
7,100,7,86,7,Yes,Yes,Excellent
7,100,7,88,7,Yes,No,Excellent
8,100,8,90,8,Yes,Yes,Excellent
8,100,8,92,8,Yes,YES,Excellent
9,100,8,94,9,Yes,Yes,Excellent
9,100,8,96,9,Yes,YES,Excellent
10,100,8,98,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,99,7,83,6,Yes,NO,Excellent
7,100,7,85,7,Yes,Yes,Excellent
7,100,7,87,7,Yes,No,Excellent
8,100,8,89,8,Yes,Yes,Excellent
8,100,8,91,8,Yes,YES,Excellent
9,100,8,93,9,Yes,Yes,Excellent
9,100,8,95,9,Yes,YES,Excellent
10,100,8,97,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,84,6,Yes,NO,Excellent
7,100,7,86,7,Yes,Yes,Excellent
7,100,7,88,7,Yes,No,Excellent
8,100,8,90,8,Yes,Yes,Excellent
8,100,8,92,8,Yes,YES,Excellent
9,100,8,94,9,Yes,Yes,Excellent
9,100,8,96,9,Yes,YES,Excellent
10,100,8,98,10,Yes,Yes,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,85,6,Yes,NO,Excellent
7,100,7,87,7,Yes,YES,Excellent
7,100,7,89,7,Yes,No,Excellent
8,100,8,91,8,Yes,YES,Excellent
8,100,8,93,8,Yes,YES,Excellent
9,100,8,95,9,Yes,YES,Excellent
9,100,8,97,9,Yes,YES,Excellent
10,100,8,99,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,86,6,Yes,NO,Excellent
7,100,7,88,7,Yes,YES,Excellent
7,100,7,90,7,Yes,No,Excellent
8,100,8,92,8,Yes,YES,Excellent
8,100,8,94,8,Yes,YES,Excellent
9,100,8,96,9,Yes,YES,Excellent
9,100,8,98,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,87,6,Yes,NO,Excellent
7,100,7,89,7,Yes,YES,Excellent
7,100,7,91,7,Yes,No,Excellent
8,100,8,93,8,Yes,YES,Excellent
8,100,8,95,8,Yes,YES,Excellent
9,100,8,97,9,Yes,YES,Excellent
9,100,8,99,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,88,6,Yes,NO,Excellent
7,100,7,90,7,Yes,YES,Excellent
7,100,7,92,7,Yes,No,Excellent
8,100,8,94,8,Yes,YES,Excellent
8,100,8,96,8,Yes,YES,Excellent
9,100,8,98,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,89,6,Yes,NO,Excellent
7,100,7,91,7,Yes,YES,Excellent
7,100,7,93,7,Yes,No,Excellent
8,100,8,95,8,Yes,YES,Excellent
8,100,8,97,8,Yes,YES,Excellent
